cust id,order total,order date,status
C001,129.90,2026-06-01,shipped
C001,42.50,2026-06-02,shipped
C001,310.00,2026-06-03,delivered
C001,18.99,2026-06-03,cancelled
C001,205.75,2026-06-05,shipped
C001,64.00,2026-06-06,delivered
C001,89.90,2026-06-07,refunded
C001,150.25,2026-06-08,shipped
C001,27.40,2026-06-09,pending
C002,58.00,2026-06-01,"shipped, partial"
C002,240.50,2026-06-02,shipped
C002,73.20,2026-06-03,delivered
C002,12.00,2026-06-04,cancelled
C002,199.99,2026-06-05,shipped
C002,45.60,2026-06-06,delivered
C002,88.00,2026-06-08,refunded
C002,134.10,2026-06-09,shipped
C003,79.99,2026-06-01,shipped
C003,320.00,2026-06-02,delivered
C003,15.50,2026-06-03,cancelled
C003,60.00,2026-06-04,shipped
C003,142.30,2026-06-06,delivered
C003,9.99,2026-06-07,pending
C003,255.00,2026-06-09,shipped
C004,,2026-06-02,pending
C004,110.00,2026-06-03,shipped
C004,48.75,2026-06-04,delivered
C004,17.25,2026-06-05,cancelled
C004,290.40,2026-06-07,shipped
C004,66.00,2026-06-08,delivered
C005,,2026-06-01,pending
C005,175.00,2026-06-03,shipped
C005,33.30,2026-06-04,delivered
C005,410.00,2026-06-05,shipped
C005,22.90,2026-06-06,cancelled
C005,98.50,2026-06-08,delivered
C006,54.00,2026-06-02,shipped
C006,120.75,2026-06-04,delivered
C006,8.50,2026-06-05,cancelled
C006,230.00,2026-06-07,shipped
C006,71.20,2026-06-09,delivered
C007,310.75,2026-06-01,shipped
C007,44.00,2026-06-03,delivered
C007,169.90,2026-06-06,shipped
C007,25.00,2026-06-08,refunded
C008,95.00,2026-06-02,shipped
C008,182.40,2026-06-05,delivered
C008,60.60,2026-06-09,pending
